Finding ID,Severity,Category,Bucket,Title,Effort (hrs),Owner,Deadline,Status,Notes
F-A-1,CRITICAL,Integration,FIX NOW,Genesis Tools Not Registered in MCP,2,Bridge,Pre-merge,PENDING,Register 5 tools in ListToolsRequestSchema + CallToolRequestSchema
F-A-3,CRITICAL,Integration,FIX NOW,Genesis Polling Loop Never Started,3,Bridge,Pre-merge,PENDING,Instantiate polling loop in index.ts after Genesis spawn
F-P-1,CRITICAL,Stability,FIX NOW,Event Log Unbounded Growth,2,Bridge,Pre-merge,PENDING,Implement ring buffer (max 10K events) with oldest pruning
F-P-2,CRITICAL,Stability,FIX NOW,Cursor Map Unbounded Leak,1,Bridge,Pre-merge,PENDING,Add 1-min interval cleanup + LRU bound (max 1000 cursors)
F-NIKA-1,CRITICAL,Safety,FIX NOW,Genesis Cannot Execute Read-Only Tools,1,Bridge,Pre-merge,PENDING,Add enforceGenesisPrivilege check to genesis-tools.ts
F-THANE-2,HIGH,Functionality,FIX NOW,Project-Config Not Initialized,1.5,Bridge,Pre-merge,PENDING,Generate project-config.yaml on discovery with git metadata
F-THANE-4,HIGH,Testing,FIX NOW,No E2E Portfolio Discovery Test,2,QA,Pre-merge,PENDING,Create integration test: 3 repos → discover all → verify .method/
F-NIKA-6,HIGH,Testing,FIX NOW,Cross-Project Isolation Not Validated,1,QA,Pre-merge,PENDING,Unit test: verify projectA manifest doesn't leak to projectB
F-THANE-6,HIGH,Testing,FIX NOW,Performance Metrics Not Measured,1.5,QA,Pre-merge,PENDING,Benchmark discovery for 5/10/20 projects; assert <2s
F-A-5,HIGH,Design,FIX NOW,Cursor Format Not Versioned,0.5,Bridge,Pre-merge,PENDING,Add version field to genesis-cursors.yaml (v1.0)
F-A-9,MEDIUM,Safety,FIX NOW,Genesis Abort Returns Fake Success,1.5,Bridge,Pre-merge,PENDING,Either implement real abort or return 501 Not Implemented
F-P-3,HIGH,Performance,PHASE 3,Cursor Writes Every 5 Seconds,1,Bridge,PRD-031,DEFER,Batch cursor saves: shutdown + every 5 min
F-P-4,HIGH,Performance,PHASE 3,File Watcher Triggers Full Registry Rescan,2,Bridge,PRD-031,DEFER,File-level rescan: only parse changed file
